id,name,website,platform,handle,profile_url,active,notes
009-youtube,Bipartisan Policy Center,https://bipartisanpolicy.org,YouTube,channel/UCr1L-KDu5MZMPpmV-gr48fQ,https://www.youtube.com/channel/UCr1L-KDu5MZMPpmV-gr48fQ,true,Corroborated — On Think Tanks directory | Source: https://onthinktanks.org/think-tank/bipartisan-policy-center/ | Directory-listed account; institutional backlink was not accessible in this review.
009-x,Bipartisan Policy Center,https://bipartisanpolicy.org,X,BPC_Bipartisan,https://x.com/BPC_Bipartisan,true,Verified — discovered on official website scan | Source: https://bipartisanpolicy.org/ | Discovered from https://bipartisanpolicy.org via playwright.
009-linkedin,Bipartisan Policy Center,https://bipartisanpolicy.org,LinkedIn,company/bipartisan-policy-center,https://www.linkedin.com/company/bipartisan-policy-center,true,Corroborated — On Think Tanks directory | Source: https://onthinktanks.org/think-tank/bipartisan-policy-center/ | Directory-listed account; institutional backlink was not accessible in this review.
009-instagram,Bipartisan Policy Center,https://bipartisanpolicy.org,Instagram,bpc_bipartisan,https://instagram.com/bpc_bipartisan,true,Verified — discovered on official website scan | Source: https://bipartisanpolicy.org/ | Discovered from https://bipartisanpolicy.org via playwright.
009-facebook,Bipartisan Policy Center,https://bipartisanpolicy.org,Facebook,BipartisanPolicyCenter,https://facebook.com/BipartisanPolicyCenter,true,Verified — discovered on official website scan | Source: https://bipartisanpolicy.org/ | Discovered from https://bipartisanpolicy.org via playwright.
010-youtube,Brookings,https://www.brookings.edu,YouTube,user/BrookingsInstitution,https://www.youtube.com/user/BrookingsInstitution,true,Verified — institutional link | Source: https://www.brookings.edu
010-x,Brookings,https://www.brookings.edu,X,BrookingsInst,https://x.com/BrookingsInst,true,Verified — institutional link | Source: https://www.brookings.edu
010-linkedin,Brookings,https://www.brookings.edu,LinkedIn,company/the-brookings-institution,https://www.linkedin.com/company/the-brookings-institution,true,Verified — institutional link | Source: https://www.brookings.edu
010-instagram,Brookings,https://www.brookings.edu,Instagram,brookingsinst,https://www.instagram.com/brookingsinst,true,Verified — institutional link | Source: https://www.brookings.edu
010-facebook,Brookings,https://www.brookings.edu,Facebook,brookings,https://www.facebook.com/brookings,true,Verified — institutional link | Source: https://www.brookings.edu
011-youtube,Bruegel,https://www.bruegel.org,YouTube,user/BruegelTV,https://www.youtube.com/user/BruegelTV,true,Verified — institutional link | Source: https://www.bruegel.org
011-linkedin,Bruegel,https://www.bruegel.org,LinkedIn,company/bruegel,https://www.linkedin.com/company/bruegel,true,Verified — institutional link | Source: https://www.bruegel.org
011-instagram,Bruegel,https://www.bruegel.org,Instagram,bruegel_thinktank,https://www.instagram.com/bruegel_thinktank,true,Verified — institutional link | Source: https://www.bruegel.org
012-youtube,Carnegie Endowment for International Peace,https://carnegieendowment.org,YouTube,CarnegieEndowment,https://www.youtube.com/CarnegieEndowment,true,Verified — institutional link | Source: https://carnegieendowment.org
012-x,Carnegie Endowment for International Peace,https://carnegieendowment.org,X,CarnegieEndow,https://x.com/CarnegieEndow,true,Verified — institutional link | Source: https://carnegieendowment.org
012-linkedin,Carnegie Endowment for International Peace,https://carnegieendowment.org,LinkedIn,company/carnegieendowment,https://www.linkedin.com/company/carnegieendowment,true,Verified — institutional link | Source: https://carnegieendowment.org
012-instagram,Carnegie Endowment for International Peace,https://carnegieendowment.org,Instagram,carnegieendow,https://www.instagram.com/carnegieendow,true,Verified — institutional link | Source: https://carnegieendowment.org
012-facebook,Carnegie Endowment for International Peace,https://carnegieendowment.org,Facebook,carnegieendowment,https://www.facebook.com/carnegieendowment,true,Verified — institutional link | Source: https://carnegieendowment.org
013-youtube,Cato Institute,https://www.cato.org,YouTube,channel/UCyl7zwI6giPG6zC3uC8GGVg,https://www.youtube.com/channel/UCyl7zwI6giPG6zC3uC8GGVg,true,Corroborated — On Think Tanks directory | Source: https://onthinktanks.org/think-tank/cato-institute/ | Directory-listed account; institutional backlink was not accessible in this review.
013-linkedin,Cato Institute,https://www.cato.org,LinkedIn,company/cato-institute,https://www.linkedin.com/company/cato-institute,true,Corroborated — On Think Tanks directory | Source: https://onthinktanks.org/think-tank/cato-institute/ | Directory-listed account; institutional backlink was not accessible in this review.
014-youtube,Center for a New American Security,https://www.cnas.org,YouTube,user/CNASdc,https://www.youtube.com/user/CNASdc,true,Verified — institutional link | Source: https://www.cnas.org
014-x,Center for a New American Security,https://www.cnas.org,X,cnasdc,https://x.com/cnasdc,true,Verified — institutional link | Source: https://www.cnas.org
014-linkedin,Center for a New American Security,https://www.cnas.org,LinkedIn,company/center-for-a-new-american-security,https://www.linkedin.com/company/center-for-a-new-american-security,true,Verified — institutional link | Source: https://www.cnas.org
014-instagram,Center for a New American Security,https://www.cnas.org,Instagram,cnasdc,https://www.instagram.com/cnasdc,true,Verified — institutional link | Source: https://www.cnas.org
014-facebook,Center for a New American Security,https://www.cnas.org,Facebook,CNASdc,https://www.facebook.com/CNASdc,true,Verified — institutional link | Source: https://www.cnas.org
015-x,Centre for Air Power Studies,https://capsindia.org,X,caps_india,https://x.com/caps_india,true,Verified — discovered on official website scan | Source: https://capssindia.org/ | Discovered from https://capsindia.org via fetch.
015-linkedin,Centre for Air Power Studies,https://capsindia.org,LinkedIn,in/centre-for-air-power-studies-caps-4216ab82,https://www.linkedin.com/in/centre-for-air-power-studies-caps-4216ab82,true,Corroborated — On Think Tanks directory | Source: https://onthinktanks.org/think-tank/centre-for-air-power-studies/ | Directory-listed account; institutional backlink was not accessible in this review.
016-youtube,Centre for Budget and Governance Accountability,https://www.cbgaindia.org,YouTube,channel/UCIve0XhNPeY5on7UPjQeRtg,https://www.youtube.com/channel/UCIve0XhNPeY5on7UPjQeRtg,true,Corroborated — On Think Tanks directory | Source: https://onthinktanks.org/think-tank/centre-for-budget-and-governance-accountability/ | Directory-listed account; institutional backlink was not accessible in this review.
016-x,Centre for Budget and Governance Accountability,https://www.cbgaindia.org,X,CBGAIndia,https://x.com/CBGAIndia,true,Verified — discovered on official website scan | Source: https://www.cbgaindia.org/ | Discovered from https://www.cbgaindia.org via fetch.
016-linkedin,Centre for Budget and Governance Accountability,https://www.cbgaindia.org,LinkedIn,company/cbgaindia,https://www.linkedin.com/company/cbgaindia,true,Corroborated — LinkedIn organization page | Source: https://www.linkedin.com/company/cbgaindia | LinkedIn page website matches cbgaindia.org.
016-facebook,Centre for Budget and Governance Accountability,https://www.cbgaindia.org,Facebook,CBGAIndia,https://www.facebook.com/CBGAIndia,true,Verified — discovered on official website scan | Source: https://www.cbgaindia.org/ | Discovered from https://www.cbgaindia.org via fetch.
017-youtube,Centre for Budget and Policy Studies,https://cbps.in,YouTube,user/CBPSMedia,https://www.youtube.com/user/CBPSMedia,true,Verified — institutional link | Source: https://cbps.in
017-x,Centre for Budget and Policy Studies,https://cbps.in,X,CbpsBlr,https://x.com/CbpsBlr,true,Verified — institutional link | Source: https://cbps.in
017-linkedin,Centre for Budget and Policy Studies,https://cbps.in,LinkedIn,company/cbpsblr,https://www.linkedin.com/company/cbpsblr,true,Verified — institutional link | Source: https://cbps.in
017-instagram,Centre for Budget and Policy Studies,https://cbps.in,Instagram,cbpsblr,https://www.instagram.com/cbpsblr,true,Verified — institutional link | Source: https://cbps.in
017-facebook,Centre for Budget and Policy Studies,https://cbps.in,Facebook,Centre-for-Budget-and-Policy-Studies-191158970935880,https://www.facebook.com/Centre-for-Budget-and-Policy-Studies-191158970935880,true,Verified — institutional link | Source: https://cbps.in
018-youtube,Centre for Civil Society,https://ccs.in,YouTube,c/ccsindiatv,https://www.youtube.com/c/ccsindiatv,true,Verified — institutional link | Source: https://ccs.in
018-x,Centre for Civil Society,https://ccs.in,X,ccsindia,https://x.com/ccsindia,true,Verified — institutional link | Source: https://ccs.in
018-linkedin,Centre for Civil Society,https://ccs.in,LinkedIn,company/ccsindia,https://www.linkedin.com/company/ccsindia,true,Verified — institutional link | Source: https://ccs.in
018-instagram,Centre for Civil Society,https://ccs.in,Instagram,ccsindia,https://www.instagram.com/ccsindia,true,Verified — institutional link | Source: https://ccs.in
018-facebook,Centre for Civil Society,https://ccs.in,Facebook,ccsindia,https://www.facebook.com/ccsindia,true,Verified — institutional link | Source: https://ccs.in
019-youtube,Centre for Development Studies,https://cds.edu,YouTube,cdskeral,https://www.youtube.com/cdskeral,true,Verified — institutional link | Source: https://cds.edu
019-x,Centre for Development Studies,https://cds.edu,X,CdsTrivandrum,https://x.com/CdsTrivandrum,true,Verified — institutional link | Source: https://cds.edu
019-linkedin,Centre for Development Studies,https://cds.edu,LinkedIn,in/cds-centre-for-development-studies-a69046323,https://www.linkedin.com/in/cds-centre-for-development-studies-a69046323,true,Verified — institutional link | Source: https://cds.edu
019-facebook,Centre for Development Studies,https://cds.edu,Facebook,161461153897391,https://www.facebook.com/groups/161461153897391,true,Verified — institutional link | Source: https://cds.edu
020-youtube,Centre for Gender and Politics,https://www.cgaps.org,YouTube,@cgapsouthasia,https://www.youtube.com/@cgapsouthasia,true,Verified — institutional link | Source: https://www.cgapsouthasia.org
020-x,Centre for Gender and Politics,https://www.cgaps.org,X,cgap_sa,https://x.com/cgap_sa,true,Verified — institutional link | Source: https://www.cgapsouthasia.org
020-linkedin,Centre for Gender and Politics,https://www.cgaps.org,LinkedIn,company/cgap,https://www.linkedin.com/company/cgap,true,Verified — institutional link | Source: https://www.cgapsouthasia.org
020-instagram,Centre for Gender and Politics,https://www.cgaps.org,Instagram,cgapsouthasia,https://www.instagram.com/cgapsouthasia,true,Verified — institutional link | Source: https://www.cgapsouthasia.org
021-youtube,Centre for Land Warfare Studies (CLAWS),https://www.claws.in,YouTube,channel/UCi8jLGp-l1_SIS7Oc1z4yRA,https://www.youtube.com/channel/UCi8jLGp-l1_SIS7Oc1z4yRA,true,Corroborated — On Think Tanks directory | Source: https://onthinktanks.org/think-tank/centre-for-land-warfare-studies-claws/ | Directory-listed account; institutional backlink was not accessible in this review.
021-linkedin,Centre for Land Warfare Studies (CLAWS),https://www.claws.in,LinkedIn,company/centre-for-land-warfare-studies-claws,https://www.linkedin.com/company/centre-for-land-warfare-studies-claws,true,Corroborated — On Think Tanks directory | Source: https://onthinktanks.org/think-tank/centre-for-land-warfare-studies-claws/ | Directory-listed account; institutional backlink was not accessible in this review.
022-youtube,Centre for Policy Research,https://cprindia.org,YouTube,channel/UCT0LvSYjYr2gmUDhx7Z3wtw,https://www.youtube.com/channel/UCT0LvSYjYr2gmUDhx7Z3wtw,true,Verified — institutional link | Source: https://cprindia.org
022-x,Centre for Policy Research,https://cprindia.org,X,CPR_India,https://x.com/CPR_India,true,Verified — institutional link | Source: https://cprindia.org
022-linkedin,Centre for Policy Research,https://cprindia.org,LinkedIn,company/centre-for-policy-research,https://www.linkedin.com/company/centre-for-policy-research,true,Verified — institutional link | Source: https://cprindia.org
022-instagram,Centre for Policy Research,https://cprindia.org,Instagram,cpr_india,https://www.instagram.com/cpr_india,true,Verified — institutional link | Source: https://cprindia.org
022-facebook,Centre for Policy Research,https://cprindia.org,Facebook,CentreforPolicyResearch,https://www.facebook.com/CentreforPolicyResearch,true,Verified — institutional link | Source: https://cprindia.org
023-linkedin,Centre for Public Policy,https://www.iimb.ac.in/centres-of-excellence/cpp,LinkedIn,company/cpp-iimb,https://www.linkedin.com/company/cpp-iimb,true,"Corroborated — LinkedIn organization page | Source: https://www.linkedin.com/company/cpp-iimb | Centre for Public Policy, IIM Bangalore LinkedIn page."
024-youtube,Centre for Public Policy Research,https://www.cppr.in,YouTube,user/CPPRIndia,https://www.youtube.com/user/CPPRIndia,true,Verified — institutional link | Source: https://www.cppr.in
024-x,Centre for Public Policy Research,https://www.cppr.in,X,CPPRIndia,https://x.com/CPPRIndia,true,Verified — institutional link | Source: https://www.cppr.in
024-linkedin,Centre for Public Policy Research,https://www.cppr.in,LinkedIn,company/cpprindia,https://www.linkedin.com/company/cpprindia,true,Verified — institutional link | Source: https://www.cppr.in
024-instagram,Centre for Public Policy Research,https://www.cppr.in,Instagram,cpprindia,https://www.instagram.com/cpprindia,true,Verified — institutional link | Source: https://www.cppr.in
024-facebook,Centre for Public Policy Research,https://www.cppr.in,Facebook,cpprindia,https://www.facebook.com/cpprindia,true,Verified — institutional link | Source: https://www.cppr.in
025-youtube,Centre for Social and Economic Progress,https://csep.org,YouTube,channel/UCB-HDsHu8v-7e_UvAJBW5OQ,https://www.youtube.com/channel/UCB-HDsHu8v-7e_UvAJBW5OQ,true,Corroborated — On Think Tanks directory | Source: https://onthinktanks.org/think-tank/centre-for-social-and-economic-progress/ | Directory-listed account; institutional backlink was not accessible in this review.
025-x,Centre for Social and Economic Progress,https://csep.org,X,CSEP_Org,https://x.com/CSEP_Org,true,Verified — discovered on official website scan | Source: https://csep.org/ | Discovered from https://csep.org via fetch.
025-linkedin,Centre for Social and Economic Progress,https://csep.org,LinkedIn,company/csep-org,https://www.linkedin.com/company/csep-org,true,Corroborated — On Think Tanks directory | Source: https://onthinktanks.org/think-tank/centre-for-social-and-economic-progress/ | Directory-listed account; institutional backlink was not accessible in this review.
025-facebook,Centre for Social and Economic Progress,https://csep.org,Facebook,csepresearch,https://www.facebook.com/csepresearch,true,Verified — discovered on official website scan | Source: https://csep.org/ | Discovered from https://csep.org via fetch.
026-youtube,"Centre for Study of Science, Technology and Policy",https://cstep.in,YouTube,channel/UCROj7dD9PqkZj4My5En829A,https://www.youtube.com/channel/UCROj7dD9PqkZj4My5En829A,true,Verified — institutional link | Source: https://cstep.in
026-x,"Centre for Study of Science, Technology and Policy",https://cstep.in,X,CSTEP_India,https://x.com/CSTEP_India,true,Verified — institutional link | Source: https://cstep.in
026-linkedin,"Centre for Study of Science, Technology and Policy",https://cstep.in,LinkedIn,company/cstep,https://www.linkedin.com/company/cstep,true,Verified — institutional link | Source: https://cstep.in
026-instagram,"Centre for Study of Science, Technology and Policy",https://cstep.in,Instagram,cstep_ind,https://www.instagram.com/cstep_ind,true,Verified — institutional link | Source: https://cstep.in
027-youtube,Centre for the Study of Developing Societies,https://www.csds.in,YouTube,csdsdelhi,https://www.youtube.com/csdsdelhi,true,Verified — institutional link | Source: https://www.csds.in
027-x,Centre for the Study of Developing Societies,https://www.csds.in,X,csdsdelhi,https://x.com/csdsdelhi,true,Verified — institutional link | Source: https://www.csds.in
027-linkedin,Centre for the Study of Developing Societies,https://www.csds.in,LinkedIn,in/csds-delhi-450319214,https://www.linkedin.com/in/csds-delhi-450319214,true,Verified — institutional link | Source: https://www.csds.in
027-facebook,Centre for the Study of Developing Societies,https://www.csds.in,Facebook,csdsdelhi,https://www.facebook.com/csdsdelhi,true,Verified — institutional link | Source: https://www.csds.in
028-youtube,CEPA (Center for European Policy Analysis),https://cepa.org,YouTube,channel/UCiYaHwnU8S_pXYFDLM6RXGw,https://www.youtube.com/channel/UCiYaHwnU8S_pXYFDLM6RXGw,true,Verified — institutional link | Source: https://cepa.org
028-x,CEPA (Center for European Policy Analysis),https://cepa.org,X,cepa,https://x.com/cepa,true,Verified — institutional link | Source: https://cepa.org
028-linkedin,CEPA (Center for European Policy Analysis),https://cepa.org,LinkedIn,company/center-for-european-policy-analysis,https://www.linkedin.com/company/center-for-european-policy-analysis,true,Verified — institutional link | Source: https://cepa.org
028-instagram,CEPA (Center for European Policy Analysis),https://cepa.org,Instagram,cepaorg,https://www.instagram.com/cepaorg,true,Verified — institutional link | Source: https://cepa.org
028-facebook,CEPA (Center for European Policy Analysis),https://cepa.org,Facebook,CenterforEuropeanPolicyAnalysis,https://www.facebook.com/CenterforEuropeanPolicyAnalysis,true,Verified — institutional link | Source: https://cepa.org
029-youtube,CEPR (Center for Economic and Policy Research),https://cepr.net,YouTube,channel/UCQ5-7CUfHe7mZGR7alIOsxA,https://www.youtube.com/channel/UCQ5-7CUfHe7mZGR7alIOsxA,true,Corroborated — On Think Tanks directory | Source: https://onthinktanks.org/think-tank/center-for-economic-and-policy-research/ | Directory-listed account; institutional backlink was not accessible in this review.
029-x,CEPR (Center for Economic and Policy Research),https://cepr.net,X,ceprdc,https://x.com/ceprdc,true,Verified — discovered on official website scan | Source: https://cepr.net/ | Discovered from https://cepr.net via playwright.
029-linkedin,CEPR (Center for Economic and Policy Research),https://cepr.net,LinkedIn,company/center-for-economic-and-policy-research,https://www.linkedin.com/company/center-for-economic-and-policy-research,true,Corroborated — On Think Tanks directory | Source: https://onthinktanks.org/think-tank/center-for-economic-and-policy-research/ | Directory-listed account; institutional backlink was not accessible in this review.
029-instagram,CEPR (Center for Economic and Policy Research),https://cepr.net,Instagram,ceprdc,https://www.instagram.com/ceprdc/,true,Verified — discovered on official website scan | Source: https://cepr.net/ | Discovered from https://cepr.net via playwright.
029-facebook,CEPR (Center for Economic and Policy Research),https://cepr.net,Facebook,ceprDC,https://facebook.com/ceprDC,true,Verified — discovered on official website scan | Source: https://cepr.net/ | Discovered from https://cepr.net via playwright.
030-youtube,CEPS (Centre for European Policy Studies),https://www.ceps.eu,YouTube,channel/UCBX-oXE3mC8LGnrRIhCRI7A,https://www.youtube.com/channel/UCBX-oXE3mC8LGnrRIhCRI7A,true,Verified — institutional link | Source: https://www.ceps.eu
030-x,CEPS (Centre for European Policy Studies),https://www.ceps.eu,X,CEPS_thinktank,https://x.com/CEPS_thinktank,true,Verified — institutional link | Source: https://www.ceps.eu
030-linkedin,CEPS (Centre for European Policy Studies),https://www.ceps.eu,LinkedIn,company/ceps,https://www.linkedin.com/company/ceps,true,Verified — institutional link | Source: https://www.ceps.eu
031-youtube,CFR (Council on Foreign Relations),https://www.cfr.org,YouTube,cfr,https://www.youtube.com/cfr,true,Verified — institutional link | Source: https://www.cfr.org
031-x,CFR (Council on Foreign Relations),https://www.cfr.org,X,CFR_org,https://x.com/CFR_org,true,Verified — institutional link | Source: https://www.cfr.org
031-linkedin,CFR (Council on Foreign Relations),https://www.cfr.org,LinkedIn,company/council-on-foreign-relations,https://www.linkedin.com/company/council-on-foreign-relations,true,Verified — institutional link | Source: https://www.cfr.org
031-instagram,CFR (Council on Foreign Relations),https://www.cfr.org,Instagram,cfr_org,https://www.instagram.com/cfr_org,true,Verified — institutional link | Source: https://www.cfr.org
031-facebook,CFR (Council on Foreign Relations),https://www.cfr.org,Facebook,councilonforeignrelations,https://www.facebook.com/councilonforeignrelations,true,Verified — institutional link | Source: https://www.cfr.org
032-youtube,Chatham House,https://www.chathamhouse.org,YouTube,user/ChathamHouse10,https://www.youtube.com/user/ChathamHouse10,true,Verified — institutional link | Source: https://www.chathamhouse.org
032-x,Chatham House,https://www.chathamhouse.org,X,ChathamHouse,https://x.com/ChathamHouse,true,Verified — institutional link | Source: https://www.chathamhouse.org
032-linkedin,Chatham House,https://www.chathamhouse.org,LinkedIn,company/473772,https://www.linkedin.com/company/473772,true,Verified — institutional link | Source: https://www.chathamhouse.org
032-instagram,Chatham House,https://www.chathamhouse.org,Instagram,chathamhouse_org,https://www.instagram.com/chathamhouse_org,true,Verified — institutional link | Source: https://www.chathamhouse.org
032-facebook,Chatham House,https://www.chathamhouse.org,Facebook,ChathamHouse,https://www.facebook.com/ChathamHouse,true,Verified — institutional link | Source: https://www.chathamhouse.org
033-youtube,Chennai Centre for China Studies,https://www.c3sindia.org,YouTube,channel/UCGD84-2OKUfrbkOHqssBstw,https://www.youtube.com/channel/UCGD84-2OKUfrbkOHqssBstw,true,Verified — institutional link | Source: https://www.c3sindia.org
033-x,Chennai Centre for China Studies,https://www.c3sindia.org,X,c3schennai,https://x.com/c3schennai,true,Verified — institutional link | Source: https://www.c3sindia.org
033-linkedin,Chennai Centre for China Studies,https://www.c3sindia.org,LinkedIn,in/c3s-chennai-centre-for-china-studies-9aa224171,https://www.linkedin.com/in/c3s-chennai-centre-for-china-studies-9aa224171,true,Verified — institutional link | Source: https://www.c3sindia.org
033-instagram,Chennai Centre for China Studies,https://www.c3sindia.org,Instagram,c3s.10,https://www.instagram.com/c3s.10,true,Verified — institutional link | Source: https://www.c3sindia.org
033-facebook,Chennai Centre for China Studies,https://www.c3sindia.org,Facebook,c3sindia,https://www.facebook.com/c3sindia,true,Verified — institutional link | Source: https://www.c3sindia.org
034-youtube,Climate Policy Initiative,https://www.climatepolicyinitiative.org,YouTube,channel/UCE8V0iDgBU8mreZdBegVCcA,https://www.youtube.com/channel/UCE8V0iDgBU8mreZdBegVCcA,true,Corroborated — On Think Tanks directory | Source: https://onthinktanks.org/think-tank/climate-policy-initiative/ | Directory-listed account; institutional backlink was not accessible in this review.
034-x,Climate Policy Initiative,https://www.climatepolicyinitiative.org,X,climatepolicy,https://x.com/climatepolicy/,true,Verified — discovered on official website scan | Source: https://www.climatepolicyinitiative.org/ | Discovered from https://www.climatepolicyinitiative.org via fetch.
034-linkedin,Climate Policy Initiative,https://www.climatepolicyinitiative.org,LinkedIn,company/1647140,https://www.linkedin.com/company/1647140,true,Corroborated — On Think Tanks directory | Source: https://onthinktanks.org/think-tank/climate-policy-initiative/ | Directory-listed account; institutional backlink was not accessible in this review.
034-instagram,Climate Policy Initiative,https://www.climatepolicyinitiative.org,Instagram,climate.policy,https://www.instagram.com/climate.policy/,true,Verified — discovered on official website scan | Source: https://www.climatepolicyinitiative.org/ | Discovered from https://www.climatepolicyinitiative.org via fetch.
