run_id,captured_date,name,website,youtube_count,youtube_raw,youtube_precision,youtube_status,youtube_source,x_count,x_raw,x_precision,x_status,x_source,linkedin_count,linkedin_raw,linkedin_precision,linkedin_status,linkedin_source,instagram_count,instagram_raw,instagram_precision,instagram_status,instagram_source,facebook_count,facebook_raw,facebook_precision,facebook_status,facebook_source,last_captured_at
2026-09-16_09-00-36-892,2026-09-16,ACET (African Center for Economic Transformation),https://acetforafrica.org,,,,,,18912,18912,exact_public,collected,https://x.com/acetforafrica,,,,,,,,,,,,,,,,2026-09-16T09:00:36.899Z
2026-09-16_09-25-17-709,2026-09-16,ACET (African Center for Economic Transformation),https://acetforafrica.org,615,615,exact_public,collected,https://www.youtube.com/user/acetforafrica,18912,18912,exact_public,collected,https://x.com/acetforafrica,31731,"31,731",exact_public,collected,https://www.linkedin.com/company/acetforafrica,1789,1789,exact_public,collected,https://www.instagram.com/acetforafrica,29801,"29,801",exact_public,collected,https://www.facebook.com/acetforafrica,2026-09-16T09:26:03.757Z
2026-09-16_11-23-18-360,2026-09-16,ACET (African Center for Economic Transformation),https://acetforafrica.org,,,,,,18912,18912,exact_public,collected,https://x.com/acetforafrica,,,,,,,,,,,,,,,,2026-09-16T11:23:18.366Z
2026-09-16_09-00-36-892,2026-09-16,Al Jazeera Centre for Studies,https://studies.aljazeera.net/en,,,,,,207359,207359,exact_public,collected,https://x.com/AJStudies,,,,,,,,,,,,,,,,2026-09-16T09:00:41.190Z
2026-09-16_09-25-17-709,2026-09-16,Al Jazeera Centre for Studies,https://studies.aljazeera.net/en,44300,44.3K,rounded_public,collected,https://www.youtube.com/user/aljazeerasc,207359,207359,exact_public,collected,https://x.com/AJStudies,,,,,,36666,36666,exact_public,collected,https://www.instagram.com/ajstudies,172971,"172,971",exact_public,collected,https://www.facebook.com/ajstudies,2026-09-16T09:26:48.151Z
2026-09-16_11-23-18-360,2026-09-16,Al Jazeera Centre for Studies,https://studies.aljazeera.net/en,,,,,,207360,207360,exact_public,collected,https://x.com/AJStudies,,,,,,,,,,,,,,,,2026-09-16T11:23:22.784Z
2026-09-16_09-25-17-709,2026-09-16,Al Jazeera Media Network,https://network.aljazeera.net/,,,,,,,,,,,297990,"297,990",exact_public,collected,https://www.linkedin.com/company/aljazeera,,,,,,,,,,,2026-09-16T09:26:34.099Z
2026-09-16_09-25-17-709,2026-09-16,American Enterprise Institute,https://www.aei.org,223000,223K,rounded_public,collected,https://www.youtube.com/channel/UCt8lRYpzb-sSrKFb4DT2ECw,,,,,,56255,"56,255",exact_public,collected,https://www.linkedin.com/company/american-enterprise-institute,,,,,,,,,,,2026-09-16T09:27:12.041Z
2026-09-16_09-00-36-892,2026-09-16,ASPI (Australian Strategic Policy Institute),https://www.aspi.org.au,,,,,,56515,56515,exact_public,collected,https://x.com/ASPI_org,,,,,,,,,,,,,,,,2026-09-16T09:00:42.951Z
2026-09-16_09-25-17-709,2026-09-16,ASPI (Australian Strategic Policy Institute),https://www.aspi.org.au,9150,9.15K,rounded_public,collected,https://www.youtube.com/user/ASPICanberra,56515,56515,exact_public,collected,https://x.com/ASPI_org,64222,"64,222",exact_public,collected,https://www.linkedin.com/company/australian-strategic-policy-institute,1080,1080,exact_public,collected,https://www.instagram.com/aspi_org,28223,"28,223",exact_public,collected,https://www.facebook.com/ASPI.org,2026-09-16T09:27:43.667Z
2026-09-16_11-23-18-360,2026-09-16,ASPI (Australian Strategic Policy Institute),https://www.aspi.org.au,,,,,,56519,56519,exact_public,collected,https://x.com/ASPI_org,,,,,,,,,,,,,,,,2026-09-16T11:23:24.758Z
2026-09-16_09-00-36-892,2026-09-16,Association for Democratic Reforms,https://adrindia.org,,,,,,27269,27269,exact_public,collected,https://x.com/adrspeaks,,,,,,,,,,,,,,,,2026-09-16T09:00:45.366Z
