run_id,id,name,website,platform,handle,profile_url,metric_label,count,raw_display_text,count_precision,status,error,source_url,captured_at,fetch_method,notes
2026-09-16_08-14-02-215,x-openai,OpenAI,https://openai.com,X,OpenAI,https://x.com/OpenAI,Followers,5338562,5338562,,collected,,https://x.com/OpenAI,2026-09-16T08:14:02.220Z,static,Seed public profile
2026-09-16_08-14-02-215,x-google,Google,https://www.google.com,X,Google,https://x.com/Google,Followers,31896054,31896054,,collected,,https://x.com/Google,2026-09-16T08:14:04.236Z,static,Seed public profile
2026-09-16_08-14-11-966,yt-openai,OpenAI,https://openai.com,YouTube,@OpenAI,https://www.youtube.com/@OpenAI,Subscribers,2060000,2.06M,,collected,,https://www.youtube.com/@OpenAI,2026-09-16T08:14:11.972Z,playwright,Seed public profile
2026-09-16_08-14-11-966,yt-google,Google,https://www.google.com,YouTube,@Google,https://www.youtube.com/@Google,Subscribers,14600000,14.6M,,collected,,https://www.youtube.com/@Google,2026-09-16T08:14:29.187Z,playwright,Seed public profile
2026-09-16_08-14-11-966,x-openai,OpenAI,https://openai.com,X,OpenAI,https://x.com/OpenAI,Followers,5338566,5338566,,collected,,https://x.com/OpenAI,2026-09-16T08:14:40.660Z,static,Seed public profile
2026-09-16_08-14-11-966,x-google,Google,https://www.google.com,X,Google,https://x.com/Google,Followers,31896055,31896055,,collected,,https://x.com/Google,2026-09-16T08:14:42.432Z,static,Seed public profile
2026-09-16_08-14-11-966,linkedin-openai,OpenAI,https://openai.com,LinkedIn,company/openai,https://www.linkedin.com/company/openai,Followers,11711761,"11,711,761",,collected,,https://www.linkedin.com/company/openai,2026-09-16T08:14:44.454Z,static,Company page only
2026-09-16_08-14-11-966,linkedin-google,Google,https://www.google.com,LinkedIn,company/google,https://www.linkedin.com/company/google,Followers,42375961,"42,375,961",,collected,,https://www.linkedin.com/company/google,2026-09-16T08:14:46.407Z,static,Company page only
2026-09-16_08-14-11-966,instagram-openai,OpenAI,https://openai.com,Instagram,openai,https://www.instagram.com/openai,Followers,7000000,7M,,collected,,https://www.instagram.com/openai,2026-09-16T08:14:48.546Z,playwright,Seed public profile
2026-09-16_08-14-11-966,instagram-google,Google,https://www.google.com,Instagram,google,https://www.instagram.com/google,Followers,16000000,16M,,collected,,https://www.instagram.com/google,2026-09-16T08:15:01.375Z,playwright,Seed public profile
2026-09-16_08-14-11-966,facebook-openai,OpenAI,https://openai.com,Facebook,OpenAI,https://www.facebook.com/OpenAI,Followers,843576,"843,576",,collected,,https://www.facebook.com/openai/,2026-09-16T08:15:13.778Z,playwright,Page only
2026-09-16_08-14-11-966,facebook-google,Google,https://www.google.com,Facebook,Google,https://www.facebook.com/Google,Followers,36030713,"36,030,713",,collected,,https://www.facebook.com/Google,2026-09-16T08:15:26.838Z,playwright,Page only
2026-09-16_08-25-12-206,yt-openai,OpenAI,https://openai.com,YouTube,@OpenAI,https://www.youtube.com/@OpenAI,Subscribers,2060000,2.06M,rounded_public,collected,,https://www.youtube.com/@OpenAI,2026-09-16T08:25:12.212Z,playwright,Seed public profile
2026-09-16_08-25-12-206,yt-google,Google,https://www.google.com,YouTube,@Google,https://www.youtube.com/@Google,Subscribers,14600000,14.6M,rounded_public,collected,,https://www.youtube.com/@Google,2026-09-16T08:25:27.096Z,playwright,Seed public profile
2026-09-16_08-25-44-650,instagram-openai,OpenAI,https://openai.com,Instagram,openai,https://www.instagram.com/openai,Followers,6615663,6615663,exact_public,collected,,https://www.instagram.com/openai,2026-09-16T08:25:44.655Z,playwright,Seed public profile
